beechnut,time
9.38811,19.074
9.38811,19.0912
9.38811,19.1069
9.38811,19.1231
9.38811,19.1403
9.38811,19.1562
9.38811,19.1738
9.38811,19.1904
9.38811,19.2066
9.38811,19.2243
9.38811,19.2398
9.38811,19.257
9.38811,19.274
9.38811,19.2903
9.38811,19.3078
9.38811,19.3242
9.38811,19.3396
9.38811,19.3575
9.38811,19.3733
9.38811,19.3921
9.38811,19.4065
9.38811,19.4256
9.38811,19.441
9.38811,19.4578
9.38811,19.4734
9.38811,19.4907
9.21094,19.5071
9.21094,19.5246
9.21094,19.5402
9.21094,19.5577
9.21094,19.5739
9.21094,19.5899
9.21094,19.6078
9.21094,19.6243
9.21094,19.6408
9.21094,19.6571
9.21094,19.6731
9.21094,19.6905
9.21094,19.7064
9.21094,19.7235
9.21094,19.7403
9.21094,19.7578
9.21094,19.7737
9.21094,19.7896
9.21094,19.8076
9.21094,19.8231
9.21094,19.8406
9.21094,19.857
9.21094,19.8747
9.21094,19.8906
9.21094,19.9068
9.21094,19.9242
9.21094,19.9402
9.21094,19.9568
9.21094,19.9743
9.21094,19.9914
9.21094,20.0072
9.21094,20.0241
9.21094,20.04
9.21094,20.0564
9.21094,20.0752
9.21094,20.0898
9.21094,20.1073
9.21094,20.1252
9.21094,20.1399
9.21094,20.1571
9.21094,20.174
9.21094,20.1902
9.21094,20.2068
9.21094,20.2234
9.21094,20.2406
9.21094,20.2585
9.21094,20.2736
9.21094,20.2917
9.21094,20.3082
9.21094,20.3244
9.21094,20.3396
9.21094,20.3564
9.21094,20.373
9.21094,20.391
9.21094,20.4069
9.21094,20.4238
9.21094,20.4397
9.21094,20.4568
9.21094,20.4741
9.21094,20.4919
9.21094,20.5063
9.21094,20.5239
9.21094,20.5409
9.21094,20.5585
9.21094,20.5741
9.21094,20.5918
9.21094,20.6067
9.21094,20.6246
9.21094,20.64
9.21094,20.6568
9.21094,20.6733
9.21094,20.6911
9.21094,20.7066
9.21094,20.7229
9.21094,20.7408
9.21094,20.7581
9.21094,20.7733
9.21094,20.7912
9.21094,20.8068
9.21094,20.8251
9.21094,20.8398
9.21094,20.8581
9.21094,20.8734
9.21094,20.8898
9.21094,20.9074
9.21094,20.9238
9.21094,20.9404
9.21094,20.9576
9.21094,20.9729
9.21094,20.991
9.21094,21.0078
9.21094,21.0231
9.21094,21.0403
9.21094,21.0602
9.21094,21.0745
9.21094,21.0907
9.21094,21.1077
9.21094,21.1247
9.21094,21.1399
9.21094,21.1562
9.21094,21.1731
9.21094,21.1902
9.21094,21.2074
9.21094,21.2248
9.21094,21.2404
9.21094,21.2581
9.21094,21.2733
9.21094,21.2914
9.21094,21.3069
9.21094,21.3239
9.21094,21.3396
9.21094,21.3563
9.21094,21.3747
9.21094,21.3919
9.21094,21.4069
9.21094,21.4247
9.21094,21.4398
9.21094,21.4569
9.21094,21.473
9.21094,21.4898
9.21094,21.5079
9.21094,21.5232
9.21094,21.5407
9.21094,21.5582
9.21094,21.5729
9.21094,21.591
9.21094,21.6079
9.21094,21.6244
9.21094,21.6411
9.21094,21.6565
9.21094,21.6739
9.15714,21.6902
9.15714,21.7077
9.15714,21.7229
9.15714,21.74
9.15714,21.758
9.15714,21.7736
9.15714,21.7903
9.15714,21.8067
9.15714,21.8236
9.15714,21.8397
9.15714,21.8582
9.15714,21.8732
9.15714,21.8916
9.15714,21.9072
9.15714,21.9239
9.15714,21.9411
9.15714,21.9565
9.15714,21.9736
9.15714,21.9915
9.15714,22.0064
9.15714,22.0254
9.15714,22.0401
9.15714,22.0572
9.15714,22.0752
9.15714,22.0905
9.15714,22.1076
9.15714,22.1233
9.15714,22.1401
9.15714,22.1564
9.15714,22.1747
9.15714,22.1898
9.15714,22.2081
9.15714,22.2236
9.15714,22.2404
9.15714,22.2575
9.15714,22.2749
9.15714,22.2902
9.15714,22.3073
9.15714,22.3231
9.15714,22.3409
9.15714,22.3581
9.15714,22.3731
9.15714,22.3904
9.15714,22.4078
9.15714,22.4232
9.15714,22.44
9.15714,22.4578
9.15714,22.4729
9.15714,22.4905
9.15714,22.5068
9.15714,22.5232
9.15714,22.5411
9.15714,22.5578
9.15714,22.573
9.15714,22.5905
9.15714,22.6079
9.15714,22.6231
9.15714,22.6402
9.15714,22.6563
9.15714,22.6733
9.15714,22.6904
9.15714,22.7081
9.15714,22.7235
9.15714,22.7415
9.15714,22.7586
9.15714,22.7745
9.15714,22.7915
9.15714,22.8065
9.15714,22.823
9.15714,22.8412
9.15714,22.8568
9.15714,22.8736
9.15714,22.892
9.15714,22.9082
9.15714,22.9236
9.15714,22.941
9.15714,22.9565
9.15714,22.9743
9.15714,22.9897
9.15714,23.0064
9.15714,23.024
9.15714,23.0411
9.15714,23.0571
9.15714,23.074
9.15714,23.0898
9.15714,23.107
9.15714,23.1245
9.15714,23.1398
9.15714,23.1566
9.15714,23.1746
9.15714,23.1916
9.15714,23.2076
9.15714,23.2238
9.15714,23.2412
9.15714,23.2563
9.15714,23.2755
9.15714,23.29
9.15714,23.307
9.15714,23.3247
9.15714,23.3413
9.15714,23.3565
9.15714,23.3737
9.15714,23.3922
9.15714,23.4068
9.15714,23.4238
9.15714,23.4411
9.15714,23.4564
9.15714,23.4735
9.15714,23.4915
9.15714,23.5064
9.15714,23.5247
9.15714,23.541
9.15714,23.5585
9.15714,23.5749
9.15714,23.5907
9.15714,23.6076
9.15714,23.6246
9.15714,23.6401
9.15714,23.6569
9.15714,23.6747
9.15714,23.6899
9.15714,23.7085
9.15714,23.7233
9.15714,23.7405
9.15714,23.7578
9.15714,23.7732
9.15714,23.7902
9.48591,23.8077
9.48591,23.8255
9.48591,23.8402
9.48591,23.8566
9.48591,23.874
9.48591,23.8903
9.48591,23.9082
9.48591,23.9248
9.48591,23.9398
9.48591,23.9573
9.48591,23.9747
9.48591,23.9901
9.48591,24.0065
