flower,time
16.3109,21.887
16.3109,21.9022
16.3109,21.9182
16.3109,21.9353
16.3109,21.9509
16.3109,21.968
16.3109,21.9843
16.3109,22.0011
16.3109,22.0173
16.3109,22.0345
16.3109,22.0509
16.3109,22.069
16.3109,22.0855
16.3109,22.1014
16.3109,22.1186
16.3109,22.1342
16.3109,22.1514
16.3109,22.1693
16.3109,22.1841
16.3109,22.201
16.3109,22.2189
16.3109,22.2352
16.3109,22.2507
16.3109,22.2701
16.3109,22.2853
16.3109,22.3012
16.3109,22.3182
16.3109,22.3353
16.3109,22.3512
16.3109,22.3677
16.3109,22.3844
16.3109,22.4013
16.3109,22.4189
16.3109,22.434
16.3109,22.4522
16.3109,22.468
16.3109,22.4853
16.3109,22.5015
16.3109,22.5175
16.3109,22.5354
16.3109,22.5507
16.3109,22.568
16.3109,22.5859
16.3109,22.6007
16.3109,22.6183
16.3109,22.6353
16.3109,22.6514
16.3109,22.668
16.3109,22.6847
16.3109,22.7016
16.3109,22.7178
16.3109,22.7353
16.3109,22.751
16.3109,22.7678
16.3109,22.785
16.3109,22.8031
16.3109,22.8192
16.3109,22.835
16.3109,22.8514
16.3109,22.8674
16.3109,22.8844
16.3109,22.9022
16.3109,22.9204
16.519,22.9344
16.519,22.9526
16.519,22.9693
16.519,22.985
16.519,23.0034
16.519,23.0184
16.519,23.0343
16.519,23.0514
16.519,23.0682
16.519,23.0846
16.519,23.1021
16.519,23.1201
16.519,23.1353
16.519,23.1521
16.519,23.168
16.519,23.1844
16.519,23.2031
16.519,23.2179
16.519,23.2346
16.519,23.2526
16.519,23.2677
16.519,23.2849
16.519,23.3018
16.519,23.3182
16.519,23.3345
16.519,23.3512
16.519,23.3676
16.519,23.3853
16.519,23.4026
16.519,23.4176
16.519,23.4355
16.519,23.452
16.519,23.4681
16.519,23.4845
16.519,23.5035
16.519,23.5181
16.519,23.5368
16.519,23.5523
16.519,23.5688
16.519,23.5843
16.519,23.6007
16.519,23.6185
16.519,23.6369
16.519,23.6512
16.519,23.6674
16.519,23.684
16.519,23.7013
16.519,23.7188
16.519,23.7349
16.519,23.751
16.519,23.7673
16.519,23.7859
16.519,23.8022
16.519,23.8178
16.519,23.8372
16.519,23.8525
16.519,23.8674
16.519,23.884
16.519,23.9025
16.519,23.9182
16.519,23.9369
16.519,23.9507
16.519,23.9691
16.519,23.9867
16.519,24.0011
16.519,24.0184
16.519,24.0341
16.519,24.0526
16.519,24.0675
16.519,24.0848
16.519,24.1012
16.519,24.1178
16.6559,24.1351
16.6559,24.1511
16.6559,24.17
16.6559,24.1841
16.6559,24.2011
16.6559,24.2193
16.6559,24.2348
16.6559,24.2509
16.6559,24.2677
16.6559,24.2848
16.6559,24.3015
16.6559,24.3189
16.6559,24.3347
16.6559,24.3511
16.6559,24.3674
16.6559,24.3845
16.6559,24.4019
16.6559,24.4185
16.6559,24.4349
16.6559,24.4508
16.6559,24.4692
16.6559,24.4842
16.6559,24.5011
16.6559,24.5174
16.6559,24.5348
16.6559,24.5516
16.6559,24.5676
16.6559,24.5859
16.6559,24.6011
16.6559,24.6188
16.6559,24.6344
16.6559,24.6525
16.6559,24.6686
16.6559,24.6846
16.6559,24.7018
16.6559,24.7181
16.6559,24.7346
16.6559,24.7519
16.6559,24.7703
16.6559,24.786
16.6559,24.8017
16.6559,24.8187
16.6559,24.8355
16.6559,24.8522
16.6559,24.8681
16.6559,24.8845
16.6559,24.9012
16.6559,24.9174
16.6559,24.9342
16.6559,24.9512
16.6559,24.968
16.6559,24.9841
16.6559,25.0019
16.6559,25.018
16.6559,25.0351
16.6559,25.0515
16.6559,25.0683
16.6559,25.0854
16.6559,25.1015
16.6559,25.1173
16.6559,25.1343
16.6559,25.1516
16.6559,25.1679
16.6559,25.1851
16.6559,25.2016
16.6559,25.2173
16.6559,25.2355
16.6559,25.2508
16.6559,25.2685
16.6559,25.2848
16.6559,25.3018
16.9121,25.3177
16.9121,25.3355
16.9121,25.3516
16.9121,25.3677
16.9121,25.3856
16.9121,25.4018
16.9121,25.4178
16.9121,25.4353
16.9121,25.4512
16.9121,25.47
16.9121,25.4847
16.9121,25.5026
16.9121,25.5187
16.9121,25.5346
16.9121,25.5515
16.9121,25.5674
16.9121,25.5853
16.9121,25.6012
16.9121,25.6186
16.9121,25.6348
16.9121,25.6511
16.9121,25.6686
16.9121,25.6848
16.9121,25.7007
16.9121,25.7178
16.9121,25.7341
