richtmyer,time
26.8737,9.21551
26.8737,9.23081
26.8737,9.24904
26.8737,9.26445
26.8737,9.28091
26.8737,9.29747
26.8737,9.31457
26.8737,9.33122
26.8737,9.34766
26.8737,9.36444
26.8737,9.38166
26.8737,9.39824
26.8737,9.41547
26.8737,9.43129
26.8737,9.44995
26.8737,9.46543
26.8737,9.48079
26.8737,9.49756
26.8737,9.5146
26.8737,9.53129
26.8737,9.54898
26.8737,9.56538
26.8737,9.58191
26.8737,9.59905
26.8737,9.61577
26.8737,9.63093
26.8737,9.64935
27.4663,9.66447
27.4663,9.68119
27.4663,9.69739
27.4663,9.71562
27.4663,9.73121
27.4663,9.74767
27.4663,9.76413
27.4663,9.7813
27.4663,9.79776
27.4663,9.81497
27.4663,9.83078
27.4663,9.8491
27.4663,9.86492
27.4663,9.88084
27.4663,9.89827
27.4663,9.91411
27.4663,9.93246
27.4663,9.94801
27.4663,9.96421
27.4663,9.98108
27.4663,9.99877
27.4663,10.0154
27.4663,10.0327
27.4663,10.0483
27.4663,10.0646
27.4663,10.0825
27.4663,10.0976
27.4663,10.1148
27.4663,10.1316
27.4663,10.1475
27.4663,10.1659
27.4663,10.1822
27.4663,10.1988
27.4663,10.2146
27.4663,10.231
27.4663,10.2483
27.4663,10.2664
27.4663,10.2813
27.4663,10.2977
27.4663,10.3143
27.4663,10.332
27.4663,10.3473
27.4663,10.3643
27.4663,10.3825
27.6097,10.3988
27.6097,10.4155
27.6097,10.433
27.6097,10.448
27.6097,10.4649
27.6097,10.4807
27.6097,10.498
27.6097,10.5142
27.6097,10.5309
27.6097,10.5479
27.6097,10.5645
27.6097,10.5833
27.6097,10.5986
27.6097,10.6152
27.6097,10.6319
27.6097,10.6492
27.6097,10.6657
27.6097,10.6808
27.6097,10.6987
27.6097,10.7168
27.6097,10.7323
27.6097,10.7475
27.6097,10.7653
27.6097,10.7809
27.6097,10.799
27.6097,10.8144
27.6097,10.8312
27.6097,10.8491
27.6097,10.8651
27.6097,10.8814
27.6097,10.8986
27.6097,10.9152
27.6097,10.9324
27.6097,10.9483
27.6097,10.9665
27.6097,10.9825
27.6097,10.9974
27.6097,11.0157
27.6097,11.031
27.6097,11.049
27.6097,11.0644
27.6097,11.0813
27.6097,11.0993
27.9152,11.1153
27.9152,11.1318
27.9152,11.1487
27.9152,11.1652
27.9152,11.1824
27.9152,11.198
27.9152,11.2154
27.9152,11.2312
27.9152,11.2478
27.9152,11.2642
27.9152,11.2808
27.9152,11.2975
27.9152,11.3145
27.9152,11.3334
27.9152,11.3487
27.9152,11.3649
27.9152,11.3811
27.9152,11.3977
27.9152,11.4144
27.9152,11.4309
27.9152,11.4477
27.9152,11.4643
27.9152,11.4822
27.9152,11.5002
27.9152,11.5156
27.9152,11.5314
27.9152,11.548
27.9152,11.5642
27.9152,11.5809
27.9152,11.5976
27.9152,11.6165
27.9152,11.6316
27.9152,11.6481
27.9152,11.6646
27.9152,11.6809
27.9152,11.6993
27.9152,11.7156
27.9152,11.7322
27.9152,11.749
27.9152,11.7648
27.9152,11.7823
27.9152,11.7978
28.1945,11.8146
28.1945,11.8313
28.1945,11.8477
28.1945,11.8641
28.1945,11.881
28.1945,11.8993
28.1945,11.9144
28.1945,11.9315
28.1945,11.9478
28.1945,11.9658
28.1945,11.9826
28.1945,11.999
28.1945,12.0156
28.1945,12.0327
28.1945,12.0484
28.1945,12.0658
28.1945,12.0814
28.1945,12.0975
28.1945,12.1144
28.1945,12.1308
28.1945,12.1497
28.1945,12.1643
28.1945,12.1833
28.1945,12.1982
28.1945,12.2143
28.1945,12.231
28.1945,12.2476
28.1945,12.2641
28.1945,12.2808
28.1945,12.2992
28.1945,12.3143
28.1945,12.3321
28.1945,12.3498
28.1945,12.3652
28.1945,12.3811
28.1945,12.398
28.1945,12.4143
28.1945,12.4311
28.1945,12.4485
28.1945,12.4647
28.1945,12.4821
28.1945,12.4982
28.1945,12.5146
28.2369,12.533
28.2369,12.5475
28.2369,12.566
28.2369,12.5826
28.2369,12.5979
28.2369,12.6156
28.2369,12.633
28.2369,12.649
28.2369,12.6646
28.2369,12.6812
28.2369,12.6977
28.2369,12.7148
28.2369,12.7314
28.2369,12.7502
28.2369,12.7655
28.2369,12.7814
28.2369,12.7976
28.2369,12.816
28.2369,12.8326
28.2369,12.8491
28.2369,12.8657
28.2369,12.8821
28.2369,12.898
28.2369,12.9157
28.2369,12.9314
28.2369,12.9474
28.2369,12.9641
28.2369,12.9809
28.2369,12.998
28.2369,13.0144
28.2369,13.0333
28.2369,13.0484
28.2369,13.0641
28.2369,13.0813
28.2369,13.0991
28.2369,13.1157
28.2369,13.1324
28.2369,13.1492
28.2369,13.1657
28.2369,13.1813
28.2369,13.1989
28.2369,13.2145
28.26,13.2314
28.26,13.2477
28.26,13.2643
28.26,13.283
28.26,13.2974
28.26,13.3146
28.26,13.3321
28.26,13.3476
28.26,13.3641
28.26,13.3825
28.26,13.3988
28.26,13.4159
28.26,13.4327
28.26,13.4492
28.26,13.465
28.26,13.4821
28.26,13.4977
28.26,13.5147
28.26,13.5309
28.26,13.5475
28.26,13.5656
28.26,13.5809
28.26,13.5985
28.26,13.6143
28.26,13.6314
28.26,13.6493
28.26,13.665
28.26,13.6812
28.26,13.6979
28.26,13.7142
28.26,13.7309
28.26,13.7499
28.26,13.7644
28.26,13.7822
28.26,13.7974
28.26,13.815
28.26,13.8313
28.26,13.8478
28.26,13.8642
28.26,13.881
28.26,13.8976
28.26,13.9158
28.26,13.9314
28.319,13.9479
28.319,13.9664
28.319,13.9825
28.319,13.9986
28.319,14.0154
28.319,14.0318
28.319,14.0487
28.319,14.0646
28.319,14.0829
28.319,14.0985
28.319,14.1144
28.319,14.1325
28.319,14.1476
28.319,14.1652
28.319,14.1815
28.319,14.198
28.319,14.2153
28.319,14.231
28.319,14.2478
28.319,14.2643
28.319,14.2831
28.319,14.2976
28.319,14.3166
28.319,14.3308
28.319,14.3485
28.319,14.3659
28.319,14.3814
28.319,14.3981
28.319,14.4145
28.319,14.4309
28.319,14.4494
28.319,14.4642
28.319,14.4824
28.319,14.4976
28.319,14.5144
28.319,14.5331
28.319,14.5487
28.319,14.5653
28.319,14.5823
28.319,14.599
28.319,14.6156
28.319,14.6312
28.2231,14.6491
28.2231,14.6645
28.2231,14.6811
28.2231,14.6977
28.2231,14.7142
28.2231,14.7327
28.2231,14.7476
28.2231,14.7652
28.2231,14.7819
28.2231,14.7977
28.2231,14.8159
28.2231,14.8317
28.2231,14.8484
28.2231,14.8648
28.2231,14.8812
28.2231,14.8978
28.2231,14.9161
28.2231,14.9308
28.2231,14.9487
28.2231,14.9655
28.2231,14.9812
28.2231,14.9979
28.2231,15.016
28.2231,15.0314
28.2231,15.0479
28.2231,15.0642
28.2231,15.0828
28.2231,15.0976
28.2231,15.1161
28.2231,15.1312
28.2231,15.1477
28.2231,15.1658
28.2231,15.1816
28.2231,15.1979
28.2231,15.2146
28.2231,15.2312
28.2231,15.2482
28.2231,15.2644
28.2231,15.2827
28.2231,15.2983
28.2231,15.3158
28.2231,15.3312
28.5217,15.3482
28.5217,15.366
28.5217,15.3814
28.5217,15.398
28.5217,15.4143
28.5217,15.4314
28.5217,15.4481
28.5217,15.4645
28.5217,15.4817
28.5217,15.4975
28.5217,15.5143
28.5217,15.5323
28.5217,15.5485
28.5217,15.5648
28.5217,15.5809
28.5217,15.5977
28.5217,15.616
28.5217,15.6325
28.5217,15.6485
28.5217,15.6666
28.5217,15.682
28.5217,15.6976
28.5217,15.7143
28.5217,15.7308
28.5217,15.7494
28.5217,15.7643
28.5217,15.7816
28.5217,15.7977
28.5217,15.8159
28.5217,15.831
28.5217,15.8475
28.5217,15.8656
28.5217,15.8813
28.5217,15.898
28.5217,15.9159
28.5217,15.932
28.5217,15.9494
28.5217,15.9655
28.5217,15.9822
28.5217,15.9976
28.5217,16.0146
28.5217,16.0321
28.628,16.049
28.628,16.0643
28.628,16.0836
28.628,16.0987
28.628,16.1146
28.628,16.1309
28.628,16.1475
28.628,16.1656
28.628,16.1809
28.628,16.1982
28.628,16.2146
28.628,16.2333
28.628,16.2485
28.628,16.2642
28.628,16.2831
28.628,16.2987
28.628,16.3153
28.628,16.3315
28.628,16.3477
28.628,16.3661
28.628,16.3821
28.628,16.3988
28.628,16.4141
28.628,16.4315
28.628,16.4491
28.628,16.4664
28.628,16.4818
28.628,16.4976
28.628,16.5142
28.628,16.5309
28.628,16.5476
28.628,16.5643
28.628,16.5822
28.628,16.5986
28.628,16.6148
28.628,16.6322
28.628,16.648
28.628,16.6642
28.628,16.6826
28.628,16.6987
28.628,16.7152
28.628,16.7313
28.7136,16.7477
28.7136,16.766
28.7136,16.7808
28.7136,16.7982
28.7136,16.8159
28.7136,16.8311
28.7136,16.8477
28.7136,16.8661
28.7136,16.8814
28.7136,16.8977
28.7136,16.9142
28.7136,16.9314
28.7136,16.9477
28.7136,16.9646
28.7136,16.9811
28.7136,17
28.7136,17.015
28.7136,17.0308
28.7136,17.0498
28.7136,17.0664
28.7136,17.0825
28.7136,17.0989
28.7136,17.115
28.7136,17.1312
28.7136,17.1494
28.7136,17.1656
28.7136,17.181
28.7136,17.1985
28.7136,17.2157
28.7136,17.2332
28.7136,17.2482
28.7136,17.2643
28.7136,17.2809
28.7136,17.2975
28.7136,17.3157
28.7136,17.331
28.7136,17.348
28.7136,17.3645
28.7136,17.3826
28.7136,17.3977
28.7136,17.4152
28.7136,17.4321
28.7482,17.4476
28.7482,17.4664
28.7482,17.4824
28.7482,17.4984
28.7482,17.5147
28.7482,17.5308
28.7482,17.5493
28.7482,17.5654
28.7482,17.5821
28.7482,17.5979
28.7482,17.6147
28.7482,17.6319
28.7482,17.6497
28.7482,17.6647
28.7482,17.6812
28.7482,17.6994
28.7482,17.7147
28.7482,17.7309
28.7482,17.7481
28.7482,17.7644
28.7482,17.7809
28.7482,17.7992
28.7482,17.8143
28.7482,17.8321
28.7482,17.8476
28.7482,17.8667
28.7482,17.8817
28.7482,17.898
28.7482,17.9164
28.7482,17.9321
28.7482,17.9486
28.7482,17.9654
28.7482,17.9819
28.7482,17.9983
28.7482,18.0164
28.7482,18.0326
28.7482,18.048
28.7482,18.0655
28.7482,18.0808
28.7482,18.0982
28.7482,18.1156
28.8335,18.1313
28.8335,18.1476
28.8335,18.1647
28.8335,18.1812
28.8335,18.1976
28.8335,18.216
28.8335,18.2311
28.8335,18.249
28.8335,18.2642
28.8335,18.2813
28.8335,18.2982
28.8335,18.3148
28.8335,18.3331
28.8335,18.3486
28.8335,18.3648
28.8335,18.3811
28.8335,18.3994
28.8335,18.4142
28.8335,18.4324
28.8335,18.4487
28.8335,18.4646
28.8335,18.4816
28.8335,18.4989
28.8335,18.517
28.8335,18.532
28.8335,18.5478
28.8335,18.5644
28.8335,18.5809
28.8335,18.5989
28.8335,18.6143
28.8335,18.6315
28.8335,18.6481
28.8335,18.6665
28.8335,18.6812
28.8335,18.6978
28.8335,18.7158
28.8335,18.7315
28.8335,18.7479
28.8335,18.7644
28.8335,18.7826
28.8335,18.7992
28.8335,18.8154
28.7919,18.8317
28.7919,18.8481
28.7919,18.8647
28.7919,18.882
28.7919,18.8994
28.7919,18.9146
28.7919,18.9314
28.7919,18.9488
28.7919,18.9646
28.7919,18.9815
28.7919,18.9974
28.7919,19.0159
28.7919,19.031
28.7919,19.0479
28.7919,19.0642
28.7919,19.0823
28.7919,19.0977
28.7919,19.1142
28.7919,19.1323
28.7919,19.1481
28.7919,19.1641
28.7919,19.1824
28.7919,19.1981
28.7919,19.2143
28.7919,19.2327
28.7919,19.249
28.7919,19.2652
28.7919,19.2818
28.7919,19.2978
28.7919,19.3146
28.7919,19.3318
28.7919,19.3489
28.7919,19.3642
28.7919,19.3814
28.7919,19.399
28.7919,19.4146
28.7919,19.4331
28.7919,19.4481
28.7919,19.4646
28.7919,19.4813
28.7919,19.4981
28.7919,19.5143
28.9599,19.5327
28.9599,19.5476
28.9599,19.5652
28.9599,19.5814
28.9599,19.5999
28.9599,19.6147
28.9599,19.6312
28.9599,19.6499
28.9599,19.6654
28.9599,19.6815
28.9599,19.6981
28.9599,19.716
28.9599,19.7322
28.9599,19.7482
28.9599,19.7646
28.9599,19.783
28.9599,19.798
28.9599,19.8155
28.9599,19.8323
28.9599,19.8477
28.9599,19.8669
28.9599,19.8822
28.9599,19.898
28.9599,19.9144
28.9599,19.9309
28.9599,19.949
28.9599,19.9643
28.9599,19.9813
28.9599,19.9975
28.9599,20.0161
28.9599,20.0312
28.9599,20.0485
28.9599,20.0656
28.9599,20.0815
28.9599,20.0997
28.9599,20.116
28.9599,20.1316
28.9599,20.1477
28.9599,20.1657
28.9599,20.1822
28.9599,20.1981
28.8802,20.2148
28.8802,20.2326
28.8802,20.2488
28.8802,20.2643
28.8802,20.2812
28.8802,20.2984
